央卫综合,#genre#
全网影视免费看,http://em.21dtv.com/songs/60061040.mkv
智能机顶盒,http://uptt.gcwduoduo.com/v/190504/278abc595a9ac1b6cf9acf337b4d3f4f.mp4
专线13707488633,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4
金典老歌,https://vdse.bdstatic.com//36ea0ffcf8156a44b9d524d999eb088a.mp4
怀旧合集,http://vodcdn.video.taobao.com/oss/ali-video/8f45a35108ebe1b1951d2936007e3cd0/video.m3u8
酒梦,https://vd4.bdstatic.com/mda-jjbj71ymtth36pvu/sc/mda-jjbj71ymtth36pvu.mp4
韩国DJ Soda Remix 2021电音,https://vd3.bdstatic.com/mda-mev3hw0htz28h5wn/1080p/cae_h264/1622343504467773766/mda-mev3hw0htz28h5wn.mp4
凤凰传奇-自由飞翔,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url

//收费APP破解
CCTV1,http://59.36.182.134:9999/newlive/live/hls/2/live.m3u8
CCTV2,http://59.36.182.134:9999/newlive/live/hls/3/live.m3u
CCTV3,http://59.36.182.134:9999/newlive/live/hls/4/live.m3u8
CCTV4,http://59.36.182.134:9999/newlive/live/hls/5/live.m3u8
CCTV5,http://59.36.182.134:9999/newlive/live/hls/6/live.m3u8
CCTV5+,http://59.36.182.134:9999/newlive/live/hls/7/live.m3u8
CCTV6,http://59.36.182.134:9999/newlive/live/hls/8/live.m3u8
CCTV7,http://59.36.182.134:9999/newlive/live/hls/9/live.m3u8
CCTV8,http://59.36.182.134:9999/newlive/live/hls/10/live.m3u8
CCTV9,http://59.36.182.134:9999/newlive/live/hls/11/live.m3u8
CCTV10,http://59.36.182.134:9999/newlive/live/hls/12/live.m3u8
CCTV11,http://59.36.182.134:9999/newlive/live/hls/13/live.m3u8
CCTV12,http://59.36.182.134:9999/newlive/live/hls/14/live.m3u8
CCTV13,http://59.36.182.134:9999/newlive/live/hls/15/live.m3u8
CCTV14,http://59.36.182.134:9999/newlive/live/hls/16/live.m3u8
CCTV15,http://59.36.182.134:9999/newlive/live/hls/17/live.m3u8
CCTV16,http://59.36.182.134:9999/newlive/live/hls/120/live.m3u8
CCTV17,http://59.36.182.134:9999/newlive/live/hls/121/live.m3u8
CGTN,http://59.36.182.134:9999/newlive/live/hls/18/live.m3u8
云南卫视,http://59.36.182.134:9999/newlive/live/hls/19/live.m3u8
陕西卫视,http://59.36.182.134:9999/newlive/live/hls/20/live.m3u8
山西卫视,http://59.36.182.134:9999/newlive/live/hls/21/live.m3u8
内蒙古卫视,http://59.36.182.134:9999/newlive/live/hls/22/live.m3u8
青海卫视,http://59.36.182.134:9999/newlive/live/hls/23/live.m3u8
海南卫视,http://59.36.182.134:9999/newlive/live/hls/24/live.m3u8
宁夏卫视,http://59.36.182.134:9999/newlive/live/hls/25/live.m3u8
广东卫视,http://59.36.182.134:9999/newlive/live/hls/26/live.m3u8
广东体育,http://59.36.182.134:9999/newlive/live/hls/26/live.m3u8
嘉佳卡通,http://59.36.182.134:9999/newlive/live/hls/27/live.m3u8
云南卫视,http://59.36.182.134:9999/newlive/live/hls/28/live.m3u8
湖南卫视,http://59.36.182.134:9999/newlive/live/hls/29/live.m3u8
浙江卫视,http://59.36.182.134:9999/newlive/live/hls/30/live.m3u8
江苏卫视,http://59.36.182.134:9999/newlive/live/hls/31/live.m3u8
北京卫视,http://59.36.182.134:9999/newlive/live/hls/32/live.m3u8
深圳卫视,http://59.36.182.134:9999/newlive/live/hls/33/live.m3u8
黑龙江卫视,http://59.36.182.134:9999/newlive/live/hls/34/live.m3u8
湖北卫视,http://59.36.182.134:9999/newlive/live/hls/35/live.m3u8
天津卫视,http://59.36.182.134:9999/newlive/live/hls/36/live.m3u8
山东卫视,http://59.36.182.134:9999/newlive/live/hls/37/live.m3u8
东方卫视,http://59.36.182.134:9999/newlive/live/hls/38/live.m3u8
辽宁卫视,http://59.36.182.134:9999/newlive/live/hls/39/live.m3u8
四川卫视,http://59.36.182.134:9999/newlive/live/hls/40/live.m3u8
重庆卫视,http://59.36.182.134:9999/newlive/live/hls/41/live.m3u8
安徽卫视,http://59.36.182.134:9999/newlive/live/hls/42/live.m3u8
贵州卫视,http://59.36.182.134:9999/newlive/live/hls/43/live.m3u8
东南卫视,http://59.36.182.134:9999/newlive/live/hls/44/live.m3u8
河北卫视,http://59.36.182.134:9999/newlive/live/hls/45/live.m3u8
江西卫视,http://59.36.182.134:9999/newlive/live/hls/46/live.m3u8
吉林卫视,http://59.36.182.134:9999/newlive/live/hls/47/live.m3u8
广西卫视,http://59.36.182.134:9999/newlive/live/hls/48/live.m3u8
河南卫视,http://59.36.182.134:9999/newlive/live/hls/49/live.m3u8
新疆卫视,http://59.36.182.134:9999/newlive/live/hls/50/live.m3u8
CCTV世界地理,http://59.36.182.134:9999/newlive/live/hls/100/live.m3u8
CCTV怀旧剧场,http://59.36.182.134:9999/newlive/live/hls/101/live.m3u8
CCTV风云剧场,http://59.36.182.134:9999/newlive/live/hls/102/live.m3u8
CCTV央视文化精品,http://59.36.182.134:9999/newlive/live/hls/103/live.m3u8
CCTV第一剧场,http://59.36.182.134:9999/newlive/live/hls/104/live.m3u8
CCTV风云音乐,http://59.36.182.134:9999/newlive/live/hls/105/live.m3u8
CETV早期教育,http://59.36.182.134:9999/newlive/live/hls/106/live.m3u8
广东科教,http://59.36.182.134:9999/newlive/live/hls/113/live.m3u8
广东珠江,http://59.36.182.134:9999/newlive/live/hls/114/live.m3u8
大湾区卫视,http://59.36.182.134:9999/newlive/live/hls/115/live.m3u8
广东影视,http://59.36.182.134:9999/newlive/live/hls/116/live.m3u8
广东民生,http://59.36.182.134:9999/newlive/live/hls/117/live.m3u8
广东少儿,http://59.36.182.134:9999/newlive/live/hls/118/live.m3u8
广东新闻,,http://59.36.182.134:9999/newlive/live/hls/119/live.m3u8

安徽卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ahws
北京卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=bjws
重庆卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cqws
东方卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dfws
东南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dnws
东南卫视,http://zy.otioi.cn/live/place.php?id=dnws
广东卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gdws
广西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gxws
海南卫视,http://zy.otioi.cn/live/place.php?id=hnws
海峡卫视,http://zy.otioi.cn/live/place.php?id=hxws
河北卫视,http://zy.otioi.cn/live/place.php?id=hebws
河南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=henws
黑龙江卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hljws
湖北卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hbws
湖南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnws
吉林卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jlws
江苏卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jsws
江西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jxws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=llws
山东卫视,http://zy.otioi.cn/live/place.php?id=sdtv
陕西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sxws
四川卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=scws
天津卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=tjws
西藏卫视,http://zy.otioi.cn/live/place.php?id=xzws
云南卫视,http://zy.otioi.cn/live/place.php?id=ynws
浙江卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=zjws
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
安徽体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8

港澳台综合,#genre#
凤凰中文,http://8.137.59.151:99/fhtv/fenghuang.php?id=1
凤凰资讯,http://8.137.59.151:99/fhtv/fenghuang.php?id=2
凤凰香港,http://8.137.59.151:99/fhtv/fenghuang.php?id=3
翡翠,http://8.137.59.151:99/fhtv/fenghuang.php?id=4
无线新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=5
Astro翡翠,http://8.137.59.151:99/fhtv/fenghuang.php?id=7
TVB plus,http://8.137.59.151:99/fhtv/fenghuang.php?id=8
功夫台,http://8.137.59.151:99/fhtv/fenghuang.php?id=9
娱乐新闻,http://8.137.59.151:99/fhtv/fenghuang.php?id=10
千禧经典,http://8.137.59.151:99/fhtv/fenghuang.php?id=11
明珠,http://8.137.59.151:99/fhtv/fenghuang.php?id=12
星河,http://8.137.59.151:99/fhtv/fenghuang.php?id=14
