湖南央视综合,#genre#
全网影视免费看,http://em.21dtv.com/songs/60061040.mkv
智能机顶盒,http://uptt.gcwduoduo.com/v/190504/278abc595a9ac1b6cf9acf337b4d3f4f.mp4
专线13707488633,https://vdse.bdstatic.com//628ca08719cef5987ea2ae3c6f0d2386.mp4
金典老歌,https://vdse.bdstatic.com//36ea0ffcf8156a44b9d524d999eb088a.mp4
怀旧合集,http://vodcdn.video.taobao.com/oss/ali-video/8f45a35108ebe1b1951d2936007e3cd0/video.m3u8
酒梦,https://vd4.bdstatic.com/mda-jjbj71ymtth36pvu/sc/mda-jjbj71ymtth36pvu.mp4
韩国DJ Soda Remix 2021电音,https://vd3.bdstatic.com/mda-mev3hw0htz28h5wn/1080p/cae_h264/1622343504467773766/mda-mev3hw0htz28h5wn.mp4
凤凰传奇-自由飞翔,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url

//收费APP破解
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV5,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5+,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV6,http://zy.otioi.cn/live/place.php?id=dypd
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv13
CCTV14,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv15
贵州卫视,http://zy.otioi.cn/live/place.php?id=gzsws
贵州卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gzws
贵州2,http://zy.otioi.cn/live/place.php?id=gzsgg
贵州3,http://zy.otioi.cn/live/place.php?id=gzsys
贵州4,http://zy.otioi.cn/live/place.php?id=gzssh
贵州5,http://zy.otioi.cn/live/place.php?id=gzsfz
贵州6,http://zy.otioi.cn/live/place.php?id=gzskj
贵州7,http://zy.otioi.cn/live/place.php?id=gzsjj

贵州2,http://pili-publish.live.v2gogo.com/v2gogo-live/95c81a103d724c4fb01d25a7e148a15d.m3u8
遵义都市,http://pluslive.zunyifb.com/dspd/hd/live.m3u8
六盘水1,https://tvfile.lpsrtv.com/nmip-media/channellive/channel110181/playlist.m3u8
六盘水2,https://tvfile.lpsrtv.com/nmip-media/channellive/channel110983/playlist.m3u8
七星关,http://p8.vzan.com/slowlive/147077707554082780/live.m3u8


黔西南综合,http://zy.otioi.cn/live/place.php?id=qxnzh
黔西南公共,http://zy.otioi.cn/live/place.php?id=qxngg


安徽卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ahws
北京卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=bjws
重庆卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cqws
东方卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dfws
东南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dnws
东南卫视,http://zy.otioi.cn/live/place.php?id=dnws
广东卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gdws
广西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gxws
海南卫视,http://zy.otioi.cn/live/place.php?id=hnws
海峡卫视,http://zy.otioi.cn/live/place.php?id=hxws
河北卫视,http://zy.otioi.cn/live/place.php?id=hebws
河南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=henws
黑龙江卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hljws
湖北卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hbws
湖南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnws
吉林卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jlws
江苏卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jsws
江西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jxws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=llws
旅游卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=lyws
三沙卫视,http://zy.otioi.cn/live/place.php?id=ssws
山东卫视,http://zy.otioi.cn/live/place.php?id=sdtv
陕西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sxws
四川卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=scws
天津卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=tjws
西藏卫视,http://zy.otioi.cn/live/place.php?id=xzws
云南卫视,http://zy.otioi.cn/live/place.php?id=ynws
浙江卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=zjws
茶频道,http://zy.otioi.cn/live/place.php?id=hnyc
超级华语电影,http://zy.otioi.cn/live/place.php?id=hydy
环球经典电影,http://zy.otioi.cn/live/place.php?id=gwdy
福建经济,http://zy.otioi.cn/live/place.php?id=fjjj
福建旅游,http://zy.otioi.cn/live/place.php?id=fjly
福建新闻,http://zy.otioi.cn/live/place.php?id=fjxw
福建综合,http://zy.otioi.cn/live/place.php?id=fjzh
泉州闽南语,http://zy.otioi.cn/live/place.php?id=qzmn
泉州综合,http://zy.otioi.cn/live/place.php?id=qzzh
广东移动,http://zy.otioi.cn/live/place.php?id=gdyd
广州法治,http://zy.otioi.cn/live/place.php?id=gzfz
广州竞赛,http://zy.otioi.cn/live/place.php?id=gzjs
广州南国都市,http://zy.otioi.cn/live/place.php?id=gzds
广州新闻,http://zy.otioi.cn/live/place.php?id=gzxw
广州影视,http://zy.otioi.cn/live/place.php?id=gzys
广州综合,http://zy.otioi.cn/live/place.php?id=gzzh
江门综合,http://zy.otioi.cn/live/place.php?id=jmgg
佛山高明,http://zy.otioi.cn/live/place.php?id=fsgm
佛山公共,http://zy.otioi.cn/live/place.php?id=fsgg
佛山南海,http://zy.otioi.cn/live/place.php?id=fsnh
佛山三水,http://zy.otioi.cn/live/place.php?id=fsss
佛山顺德,http://zy.otioi.cn/live/place.php?id=fssd
佛山影视,http://zy.otioi.cn/live/place.php?id=fsys
佛山综合,http://zy.otioi.cn/live/place.php?id=fszh
海南少儿,http://zy.otioi.cn/live/place.php?id=hnse
海南文旅,http://zy.otioi.cn/live/place.php?id=hnwl
海南新闻,http://zy.otioi.cn/live/place.php?id=hnxw
河北都市,http://zy.otioi.cn/live/place.php?id=hebds
河北公共,http://zy.otioi.cn/live/place.php?id=hebgg
河北经济生活,http://zy.otioi.cn/live/place.php?id=hebjj
河北农民,http://zy.otioi.cn/live/place.php?id=hebnm
河北少儿科教,http://zy.otioi.cn/live/place.php?id=hebse
河北影视剧,http://zy.otioi.cn/live/place.php?id=hebys
河南电视剧,http://zy.otioi.cn/live/place.php?id=henys
河南都市,http://zy.otioi.cn/live/place.php?id=hends
河南法治,http://zy.otioi.cn/live/place.php?id=henfz
河南公共,http://zy.otioi.cn/live/place.php?id=hengg
河南国际,http://zy.otioi.cn/live/place.php?id=hengj
河南睛彩中原,http://zy.otioi.cn/live/place.php?id=henjc
河南梨园,http://zy.otioi.cn/live/place.php?id=henly
河南民生,http://zy.otioi.cn/live/place.php?id=henms
河南文物宝库,http://zy.otioi.cn/live/place.php?id=henww
河南武术世界,http://zy.otioi.cn/live/place.php?id=henas
河南乡村,http://zy.otioi.cn/live/place.php?id=henxc
河南象视界,http://zy.otioi.cn/live/place.php?id=hensn
河南新闻,http://zy.otioi.cn/live/place.php?id=henxw
河南移动戏曲,http://zy.otioi.cn/live/place.php?id=henyd
湖南电视剧,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hndsj
湖南电视剧,http://zy.otioi.cn/live/place.php?id=hnys
湖南都市,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnds
湖南都市,http://zy.otioi.cn/live/place.php?id=hnds
湖南爱晚,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hngg
湖南爱晚,http://zy.otioi.cn/live/place.php?id=hngg
湖南国际,http://zy.otioi.cn/live/place.php?id=hngj
